"['title']","['url']","['createdAt']","['closedAt']"
"Support generic types in the HttpRequestHandlingEndpointSupport","https://github.com/spring-projects/spring-integration/issues/2806","2019-3/13","2019-3/15"
"Java DSL for web services","https://github.com/spring-projects/spring-integration/issues/2818","2019-3/17","2020-2/20"
"FtpRemoteFileTemplate connection leak with ExistsMode.NLST_AND_DIRS","https://github.com/spring-projects/spring-integration/issues/2820","2019-3/18","2019-3/19"
"Spring Integration 4.3 Reference Docs Not Rendered Properly on spring.io","https://github.com/spring-projects/spring-integration/issues/2825","2019-3/20","2019-3/20"
"Enhancement: Manage back pressure on asynchronous message providers such as Kafka","https://github.com/spring-projects/spring-integration/issues/2838","2019-3/23","null"
"TCP Client Connection Factory Improvements","https://github.com/spring-projects/spring-integration/issues/2866","2019-3/28","null"
"Spurious ConcurrentModificationException in aggregator","https://github.com/spring-projects/spring-integration/issues/2867","2019-3/29","2019-4/24"
"RedisUtils.isUnlinkAvailable bug","https://github.com/spring-projects/spring-integration/issues/2868","2019-3/29","2019-3/29"
"spring integration tech:806864360","https://github.com/spring-projects/spring-integration/issues/2869","2019-3/29","2019-3/29"
"Support Multiple Files for One Form Field in multipart/form-data","https://github.com/spring-projects/spring-integration/issues/2872","2019-3/31","2019-4/2"
"Exception match order in ErrorMessageExceptionTypeRouter","https://github.com/spring-projects/spring-integration/issues/2873","2019-4/1","2019-4/1"
"Copy IP headers to syslog messages","https://github.com/spring-projects/spring-integration/issues/2874","2019-4/1","2019-4/1"
"Handle Pausable via Control Bus","https://github.com/spring-projects/spring-integration/issues/2880","2019-4/2","2019-5/30"
"Cache in RedisUtils is not thread safe","https://github.com/spring-projects/spring-integration/issues/2884","2019-4/4","2019-4/5"
"Documentation Enhancement: Describe point to point vs Centralized ESB","https://github.com/spring-projects/spring-integration/issues/2886","2019-4/8","null"
"Explain the need for an initial bridge in a subflow starting with a channel","https://github.com/spring-projects/spring-integration/issues/2890","2019-4/9","2019-8/29"
"Fix Tangles","https://github.com/spring-projects/spring-integration/issues/2892","2019-4/10","2019-4/11"
"Is this a bug when lock is timeout it throws an excption in spring-integration-redis?","https://github.com/spring-projects/spring-integration/issues/2894","2019-4/11","2019-4/12"
"NullPointer on error message being sent to errorChannel","https://github.com/spring-projects/spring-integration/issues/2897","2019-4/16","2019-4/16"
"Jms.inboundGateway not sending errors to errorChannel","https://github.com/spring-projects/spring-integration/issues/2901","2019-4/25","2019-4/25"
"Attribute `name` in @Header not taken into account","https://github.com/spring-projects/spring-integration/issues/2908","2019-4/29","2019-4/29"
"Documentation Enhancement: File Support","https://github.com/spring-projects/spring-integration/issues/2930","2019-5/14","2019-10/3"
"Add support for AMQP batched mesages","https://github.com/spring-projects/spring-integration/issues/2931","2019-5/14","2019-5/14"
"Spring startup failure when WebApplicationType is set to ""reactive""","https://github.com/spring-projects/spring-integration/issues/2933","2019-5/15","2019-5/15"
"Ability to change file permission when using sftp outbound adapter","https://github.com/spring-projects/spring-integration/issues/2935","2019-5/20","2019-5/21"
"Not able to set custom converters to MongoDbMessageStore","https://github.com/spring-projects/spring-integration/issues/2936","2019-5/20","2019-5/30"
"redisTemplate, how to determine the key doesn't exist or the value is empty by access redis once?","https://github.com/spring-projects/spring-integration/issues/2945","2019-5/30","2019-5/30"
"Feature Enhancement : Add prefix or suffix to file name while the file is getting streamed via SFTP","https://github.com/spring-projects/spring-integration/issues/2955","2019-6/7","null"
"Need getMetricCaptor protected method in AbstractMessageHandler","https://github.com/spring-projects/spring-integration/issues/2956","2019-6/10","2019-6/11"
"Add generic source_message header","https://github.com/spring-projects/spring-integration/issues/2958","2019-6/10","2019-6/10"
"Mismatch between mechanism to check if nullChannel bean exists and mechanism to fetch that bean","https://github.com/spring-projects/spring-integration/issues/2962","2019-6/11","2019-6/13"
"ScatterGatherHandler getting stuck after first message","https://github.com/spring-projects/spring-integration/issues/2967","2019-6/19","2019-6/19"
"Enhancement: Convenience class for JmsMessageDrivenChannelAdapterListenerContainerSpec<JmsDefaultListenerContainerSpec, DefaultMessageListenerContainer>","https://github.com/spring-projects/spring-integration/issues/2970","2019-6/19","2019-6/19"
