['additions'],['closedAt'],['createdAt'],['deletions'],['merged'],['mergedAt'],['paticipants'],['publishedAt'],['title']
6,2011-10/17,2011-10/17,7,False,,1,2011-10/17,Small update
8,2011-10/17,2011-10/17,1,True,2011-10/17,2,2011-10/17,updated Hungarian translation
9,2011-10/18,2011-10/18,9,True,2011-10/18,2,2011-10/18,Next try of translation the lastest strings (see pull rq #96)
1115,2011-10/20,2011-10/20,368,False,,2,2011-10/20,Issue 168: Offline POI adding
4,2011-10/22,2011-10/22,0,False,,1,2011-10/22,Hungarian translation
5,2011-10/22,2011-10/22,1,False,,1,2011-10/22,default.render.xml with elevation lines fork after 32829aed2f
73091,2011-11/22,2011-10/22,1632,True,2011-11/22,6,2011-10/22,default rendering with elevation lines and hungarian translation
18,2011-11/23,2011-10/23,21,True,2011-11/23,3,2011-10/23,Issue 168: Offline POI adding / Enhancements
2,2011-10/23,2011-10/23,2,True,2011-10/23,2,2011-10/23,Fixed sunset time calculation
1,2011-10/29,2011-10/29,1,True,2011-10/29,2,2011-10/29,"Translation of sustenance, now: Gastronomie"
48,2011-10/29,2011-10/29,0,True,2011-10/29,2,2011-10/29,Translated new strings into Czech
4,2011-11/31,2011-10/31,0,True,2011-11/31,2,2011-10/31,Hungarian translation
12,2011-11/13,2011-11/13,6,True,2011-11/13,2,2011-11/13,Complete polish strings.
4,2011-11/20,2011-11/20,1,True,2011-11/20,2,2011-11/20,Updated Hungarian translation
2,2011-11/22,2011-11/22,3,True,2011-11/22,2,2011-11/22,"utf8 ""typo"""
1114,2011-12/24,2011-11/24,368,True,2011-12/24,2,2011-11/24,Issue 168: Offline POI adding / Enhancements
3,2011-11/25,2011-11/25,2,True,2011-11/25,2,2011-11/25,Update OsmAnd/res/values-pt/strings.xml
397,2011-11/25,2011-11/25,394,True,2011-11/25,2,2011-11/25,Hungarian translation update and full review
5,2011-11/26,2011-11/26,5,False,,2,2011-11/26,Update OsmAnd/res/values-de/strings.xml
60,2011-11/26,2011-11/26,60,True,2011-11/26,2,2011-11/26,"First change to german language file, hope that the pull works now"
3,2011-11/27,2011-11/27,1,True,2011-11/27,2,2011-11/27,"Minor corrections, ""native library"" strings translated"
18,2011-12/5,2011-12/5,0,True,2011-12/5,2,2011-12/5,Translated strings from version 0.6.9 into Czech
20,2011-12/5,2011-12/5,1,True,2011-12/5,2,2011-12/5,Update OsmAnd/res/values-pl/strings.xml
15,2011-12/5,2011-12/5,0,True,2011-12/5,2,2011-12/5,Hungarian translation
11,2011-12/5,2011-12/5,11,True,2011-12/5,2,2011-12/5,correction of german translation for 0.6.9
19,2011-12/5,2011-12/5,19,True,2011-12/5,2,2011-12/5,Hungarian translation corr
4,2011-12/7,2011-12/7,14,True,2011-12/7,3,2011-12/7,Translated tip_select_destination_point(_t)
33,2011-12/11,2011-12/11,34,True,2011-12/11,2,2011-12/11,Hungarian translation update
2,2011-12/13,2011-12/13,0,True,2011-12/13,2,2011-12/13,"Translated ""zoom level"""
3,2011-12/20,2011-12/20,1,True,2011-12/20,2,2011-12/20,Cyclemaps cz
12,2012-1/2,2012-1/2,10,True,2012-1/2,2,2012-1/2,Hungarian translation update
45,2012-1/4,2012-1/4,3,True,2012-1/4,2,2012-1/4,Add an upload all POI button
63,2012-1/4,2012-1/4,9,True,2012-1/4,2,2012-1/4,Update with last strings. In future perhaps must be revised all the file...
153,2012-1/4,2012-1/4,138,True,2012-1/4,2,2012-1/4,updated FR strings translation
3,2012-1/5,2012-1/5,3,True,2012-1/5,2,2012-1/5,Update OsmAnd/res/values-pt/strings.xml
12,2012-1/5,2012-1/5,1,True,2012-1/5,2,2012-1/5,"Do not put irrelvant tags (source, created_by, converted_by) in the data..."
7,2012-1/5,2012-1/5,7,False,,2,2012-1/5,updated FR strings translation
90,2012-1/10,2012-1/10,58,True,2012-1/10,2,2012-1/10,"Inserted last 4 strings and reviewed all translations, regularized space..."
149,2012-1/11,2012-1/11,37,True,2012-1/11,2,2012-1/11,Offline poi edit
84,2012-1/15,2012-1/15,0,True,2012-1/15,2,2012-1/15,Hungarian translation.
19,2012-1/15,2012-1/15,19,True,2012-1/15,2,2012-1/15,Update OsmAnd/res/values-fr/strings.xml
67,2012-1/16,2012-1/16,67,True,2012-1/16,2,2012-1/16,corrections in Hungarian translation
137,2012-1/17,2012-1/17,128,True,2012-1/17,2,2012-1/17,Czech translation updated.
0,2012-1/18,2012-1/18,1,False,,1,2012-1/18,do not change toIndex - index file is always the first one
110,2012-1/21,2012-1/21,110,False,,1,2012-1/21,eleminated some typos and french spacing (i hope this is a contribution ...
12,2012-1/21,2012-1/21,12,True,2012-1/21,2,2012-1/21,small improvments in hu
110,2012-1/21,2012-1/21,110,True,2012-1/21,2,2012-1/21,eleminated some typos and french spacing (i hope this is a contribution ...)
7,2012-1/25,2012-1/25,0,True,2012-1/25,2,2012-1/25,Update OsmAnd/res/values-it/strings.xml
22,2012-1/27,2012-1/27,22,True,2012-1/27,2,2012-1/27,Update OsmAnd/res/values-fr/strings.xml
9,2012-1/29,2012-1/29,0,True,2012-1/29,2,2012-1/29,Live monitoring translated to czech
1,2012-1/30,2012-1/30,1,True,2012-1/30,2,2012-1/30,"""Location lost"" translated to Czech"
7,2012-1/30,2012-1/30,7,True,2012-1/30,2,2012-1/30,"""gps location lost"" and typos in hu-tts"
37,2012-1/30,2012-1/30,12,True,2012-1/30,2,2012-1/30,Hungarian translation update and line synchronization with English
1,2012-2/2,2012-2/2,0,True,2012-2/2,2,2012-2/2,disable the native rendering option when it fails to load
568,2012-2/4,2012-2/4,12,False,,2,2012-2/4,Distance Measurement Functionality
3,2012-2/8,2012-2/8,0,True,2012-2/8,2,2012-2/8,Update OsmAnd/res/values/strings.xml
2,2012-2/8,2012-2/8,2,True,2012-2/8,2,2012-2/8,Update OsmAnd/res/layout/favourite_edit_dialog.xml
1218,2012-2/9,2012-2/9,108,False,,2,2012-2/9,Measurement
860,2012-2/9,2012-2/9,0,True,2012-2/9,3,2012-2/9,updated strings-nl.xml 
9,2012-2/10,2012-2/10,9,True,2012-2/10,2,2012-2/10,minor text corrections
8,2012-2/12,2012-2/12,11,True,2012-2/12,2,2012-2/12,Small Bug corrections
299,2012-2/16,2012-2/16,88,False,,2,2012-2/16,SKIA build system + changes to build with latest Android SDK (MapActivity.java)
152,2012-6/16,2012-2/16,3,False,,2,2012-2/16,Skip downloading empty tiles
1144,2012-2/20,2012-2/20,109,False,,2,2012-2/20,Measurement
4,2012-2/20,2012-2/20,4,True,2012-2/20,2,2012-2/20,Change Australia prefix to Oceania
30,2012-2/21,2012-2/21,30,True,2012-2/21,2,2012-2/21,Update OsmAnd/voice/es-tts/_ttsconfig.p
1,2012-3/21,2012-2/21,1,False,,3,2012-2/21,Live Monitoring
11,2012-2/22,2012-2/22,1,True,2012-2/22,2,2012-2/22,Make a menu option for POI offline force
27,2012-2/22,2012-2/22,0,True,2012-2/22,3,2012-2/22,Translated latest strings in version 0.7.1.
1,2012-2/22,2012-2/22,1,True,2012-2/22,2,2012-2/22,"correctly translated  ""make u-turn when possible"""
1,2012-2/23,2012-2/23,2,True,2012-2/23,2,2012-2/23,"fixed duplicated string ""update_poi_does_not_change_indexes"""
8,2012-2/23,2012-2/23,7,True,2012-2/23,2,2012-2/23,Minor corrections
35,2012-2/23,2012-2/23,6,True,2012-2/23,2,2012-2/23,updated Hungarian translation
1144,2012-2/27,2012-2/27,109,False,,2,2012-2/27,Measurement
1145,2012-2/27,2012-2/27,110,False,,2,2012-2/27,Measurement
64,2012-2/27,2012-2/27,1,True,2012-2/27,2,2012-2/27,Added FR strings
40,2012-2/28,2012-2/28,4,True,2012-2/28,2,2012-2/28,Update OsmAnd/res/values-it/strings.xml
43,2012-2/28,2012-2/28,43,True,2012-2/28,2,2012-2/28,Update OsmAnd/res/values-it/strings.xml
666,2012-2/29,2012-2/29,189,False,,2,2012-2/29,Updated SKIA with custom patch
144,2012-3/1,2012-3/1,170,True,2012-3/1,2,2012-3/1,"NEON support, fixed bug in JNI signature, release compilation of native ..."
19,2012-3/1,2012-3/1,7,True,2012-3/1,2,2012-3/1,Reduce native allocation calls amount by reusing previously allocated bu...
139,2012-3/1,2012-3/1,35,True,2012-3/1,2,2012-3/1,"Fix of stride vs rowBytes, added direct rendering where supported"
17,2012-3/1,2012-3/1,3,True,2012-3/1,2,2012-3/1,FOR_TEST: Fake mutex implementation
3,2012-3/1,2012-3/1,3,True,2012-3/1,2,2012-3/1,Minor corrections and voice improvements
1346,2012-3/2,2012-3/2,306,True,2012-3/2,2,2012-3/2,Measurement
1350,2012-3/2,2012-3/2,1224,True,2012-3/2,2,2012-3/2,New ndk branch
261,2012-3/3,2012-3/3,0,True,2012-3/3,2,2012-3/3,Lost files
59,2012-3/3,2012-3/3,39,True,2012-3/3,1,2012-3/3,Fixed icon loading
9,2012-3/7,2012-3/7,14,True,2012-3/7,2,2012-3/7,Project settings adjustment to allow work in Eclipse not only on Victors machine :)
1219,2012-3/8,2012-3/8,0,True,2012-3/8,1,2012-3/8,Srtm contour v2
137,2012-4/9,2012-3/9,23,False,,2,2012-3/9,Hillshade resample
283,2012-3/9,2012-3/9,231,True,2012-3/9,2,2012-3/9,Ui code references refactor
2,2012-3/14,2012-3/14,0,True,2012-3/14,2,2012-3/14,"Translated ""fluorescent overlays"""
31,2012-3/16,2012-3/16,31,True,2012-3/16,2,2012-3/16,Update OsmAnd/res/values-es/strings.xml
6,2012-3/17,2012-3/17,6,True,2012-3/17,2,2012-3/17,Update OsmAnd/res/values-nl/strings.xml
70,2012-3/18,2012-3/18,51,True,2012-3/18,2,2012-3/18,Additional native code cleanup
179,2012-3/18,2012-3/18,8,True,2012-3/18,2,2012-3/18,Added OSRM usage
1,2012-3/19,2012-3/19,1,False,,1,2012-3/19,Update OsmAnd/res/values-nl/strings.xml
1,2012-3/19,2012-3/19,1,True,2012-3/19,2,2012-3/19,"""not enough memory"" adapted according to today's instructions"
1450,2012-3/19,2012-3/19,1113,True,2012-3/19,2,2012-3/19,Ui changes
102,2012-3/23,2012-3/23,41,True,2012-3/23,2,2012-3/23,Allow third-party libraries to be prebuilt
1,2012-3/27,2012-3/27,0,True,2012-3/27,2,2012-3/27,Added Thai-English source map.
2,2012-3/27,2012-3/27,0,False,,2,2012-3/27,Add OSM-Poland Topo tile source
3,2012-3/28,2012-3/28,1,True,2012-3/28,2,2012-3/28,Add OSM-Poland Topo tile source
15,2012-4/30,2012-3/30,1,False,,2,2012-3/30,My first commit to get started
479,2012-4/30,2012-3/30,216,False,,2,2012-3/30,Accessibility
300,2012-4/1,2012-4/1,324,True,2012-4/1,3,2012-4/1,Accessibility update
55,2012-4/3,2012-4/3,39,True,2012-4/3,2,2012-4/3,Major changes to better adapt to spanish grammar and better match the english text.
15,2012-4/3,2012-4/3,1,True,2012-4/3,2,2012-4/3,"Create .nomedia file on the SD card, so that Gallery and Music apps won't index tile images or voice navigation files."
233,2012-4/3,2012-4/3,161,True,2012-4/3,2,2012-4/3, Accessibility updates
744,2012-4/6,2012-4/6,336,True,2012-4/6,7,2012-4/6,Accessibility update
3,2012-4/7,2012-4/7,3,True,2012-4/7,2,2012-4/7,"орфография: в русском нет слова ""нету"""
353,2012-4/8,2012-4/8,4,True,2012-4/8,2,2012-4/8,Android SDK 17 broke old Ant script
562,2012-4/8,2012-4/8,233,False,,2,2012-4/8,Accessibility proposals
870,2012-4/8,2012-4/8,436,True,2012-4/8,2,2012-4/8,This is a brand new translation from the latest english version.
15,2012-4/11,2012-4/11,15,True,2012-4/11,2,2012-4/11,Some defects corrected and some long sentences reduced
8,2012-4/12,2012-4/12,2,False,,3,2012-4/12,Fixed Google Satellite tile source
6,2012-4/12,2012-4/12,0,True,2012-4/12,2,2012-4/12,add Geofabrik OSMI view to tile source
406,2012-6/13,2012-4/13,37,False,,2,2012-4/13,Initial Wikimapia vector API support.
8,2012-4/15,2012-4/15,4,True,2012-4/15,2,2012-4/15,Favorite Dialog and Gpx Save Improvements
60,2012-4/16,2012-4/16,1,True,2012-4/16,2,2012-4/16,Hungarian strings update
2723,2012-4/17,2012-4/17,1058,True,2012-4/17,8,2012-4/17,Accessibility update
37,2012-4/17,2012-4/17,8,True,2012-4/17,2,2012-4/17,Accessibility proposals
212,2012-4/17,2012-4/17,557,True,2012-4/17,2,2012-4/17,Updated to NDK r7c and SDK18
526,2012-4/18,2012-4/18,252,True,2012-4/18,2,2012-4/18,Accessibility proposals
14,2012-4/18,2012-4/18,0,True,2012-4/18,2,2012-4/18,Update Hungarian translation
27,2012-4/20,2012-4/20,4,True,2012-4/20,2,2012-4/20,Fix
78,2012-4/20,2012-4/20,73,True,2012-4/20,2,2012-4/20,update Hungarian translation
795,2012-4/23,2012-4/23,790,True,2012-4/23,2,2012-4/23,Fix
8,2012-4/25,2012-4/25,4,True,2012-4/25,2,2012-4/25,skia
75,2012-4/27,2012-4/27,0,True,2012-4/27,2,2012-4/27,Translated new strings for pre-release version 0.7.2 
16,2012-4/29,2012-4/29,10,True,2012-4/29,2,2012-4/29,Hungarian translation: 0.7.2 changelog
85,2012-4/29,2012-4/29,0,False,,2,2012-4/29,transalations for 0.7.2
12,2012-5/30,2012-4/30,0,True,2012-5/30,2,2012-4/30,Updated changes for 0.7.2
8,2012-5/1,2012-5/1,8,True,2012-5/1,2,2012-5/1,"Some typos (Hope I didn't double this message, I encountered some error ..."
83,2012-5/2,2012-5/2,13,True,2012-5/2,2,2012-5/2,Renew bundled assets
37,2012-5/2,2012-5/2,2,False,,3,2012-5/2,Ui code references refactor
42,2012-5/3,2012-5/3,42,True,2012-5/3,2,2012-5/3,correct russian translate
83,2012-5/3,2012-5/3,1,True,2012-5/3,3,2012-5/3,German translation for Osmand 0.7.2
1,2012-5/3,2012-5/3,2,True,2012-5/3,2,2012-5/3,Merged double entry of switch_to_raster_map_to_see.
1,2012-5/7,2012-5/7,1,True,2012-5/7,2,2012-5/7,Typo fix in Russian string.
1,2012-5/7,2012-5/7,1,True,2012-5/7,2,2012-5/7,fix for issue 244
18,2012-5/11,2012-5/11,4,True,2012-5/11,2,2012-5/11,Magic strings moved from settings_pref.xml to strings.xml
40,2012-5/12,2012-5/12,10,False,,2,2012-5/12,Native fixes
34,2012-5/12,2012-5/12,27,True,2012-5/12,2,2012-5/12,Native fixes
11,2012-5/12,2012-5/12,0,True,2012-5/12,3,2012-5/12,MapObject: set name from operator
42,2012-5/13,2012-5/13,4,True,2012-5/13,2,2012-5/13,Native memleaks
2,2012-5/13,2012-5/13,0,True,2012-5/13,2,2012-5/13,filter map icon bitmaps
1,2012-5/14,2012-5/14,1,True,2012-5/14,2,2012-5/14,"Only one word replaced, sounds more polite."
1047,2012-5/18,2012-5/18,0,True,2012-5/18,2,2012-5/18,add korean translation and voice
31,2012-5/21,2012-5/21,31,True,2012-5/21,2,2012-5/21,"Ein paar Vorschläge um ""man"" zu vermeiden. Ist prinzipiell nicht falsch,..."
243,2012-5/22,2012-5/22,200,True,2012-5/22,2,2012-5/22,updated to latest version
26,2012-5/24,2012-5/24,26,True,2012-5/24,2,2012-5/24,correction of accented characters and some text changes
42,2012-5/27,2012-5/27,6,True,2012-5/27,3,2012-5/27,Master 7.2
946,2012-5/28,2012-5/28,1,False,,2,2012-5/28,updated for plugins manager
946,2012-5/28,2012-5/28,1,False,,2,2012-5/28,update (2) for plugins
11,2012-6/3,2012-6/3,5,True,2012-6/3,3,2012-6/3,Better parsing of geo intent queries
2,2012-6/5,2012-6/5,2,True,2012-6/5,2,2012-6/5,Pull request to fix lat-lon switching issue
668,2012-6/6,2012-6/6,300,False,,2,2012-6/6,Offline osmbugs edit
48,2012-6/13,2012-6/13,42,True,2012-6/13,2,2012-6/13,Latvian tts file bugfix
2,2012-6/15,2012-6/15,0,True,2012-6/15,2,2012-6/15,Rendering village green and riverbanks
1,2012-6/21,2012-6/21,0,True,2012-6/21,2,2012-6/21,"support ""amenity=emergency_phone"""
0,2012-6/21,2012-6/21,1,True,2012-6/21,2,2012-6/21,"Remove OsmaRender, because Tiles@home has been shut down."
6,2012-6/22,2012-6/22,6,True,2012-6/22,2,2012-6/22,de string improvements
746,2012-7/25,2012-6/25,379,True,2012-7/25,3,2012-6/25,Offline osmbugs edit
18,2012-6/27,2012-6/27,18,True,2012-6/27,2,2012-6/27,Pedestrian mode tweaked
6,2012-6/28,2012-6/28,3,True,2012-6/28,2,2012-6/28,Could someone please align the attribute to the height of the highway? T...
5,2012-6/28,2012-6/28,5,True,2012-6/28,2,2012-6/28,Typo and better language
6,2012-7/3,2012-7/3,0,False,,2,2012-7/3,Bicycle mode change on default.render.xml
8,2012-7/4,2012-7/4,0,False,,1,2012-7/4,"Add extra regions, Burkina Faso"
1483,2012-7/5,2012-7/5,1,False,,2,2012-7/5,Add bicycle to obf
17,2012-7/8,2012-7/8,14,False,,2,2012-7/8,Update master
26,2012-7/11,2012-7/11,11,True,2012-7/11,2,2012-7/11,minor fixes for 64 bit linux build
30,2012-8/22,2012-7/22,0,False,,2,2012-7/22,Avoiding OutOfMemoryError during route calculation
27,2012-7/23,2012-7/23,0,True,2012-7/23,2,2012-7/23,bug 1128: Better support for new public transport specification
6,2012-7/30,2012-7/30,6,True,2012-7/30,2,2012-7/30,Update OsmAnd/res/values-nl/strings.xml
2,2012-8/3,2012-8/3,2,True,2012-8/3,2,2012-8/3,Update OsmAnd/res/values-hu/strings.xml
11,2012-8/3,2012-8/3,11,True,2012-8/3,2,2012-8/3,Little correction to Italian TTS templates
3,2012-8/7,2012-8/7,0,True,2012-8/7,2,2012-8/7,fix issue 1233
355,2012-8/8,2012-8/8,116,False,,2,2012-8/8,issue #1239
504,2012-8/8,2012-8/8,124,True,2012-8/8,2,2012-8/8,issue #1239 opening hours
9342,2012-8/10,2012-8/10,3,False,,4,2012-8/10,Special phrases for better localisation
966,2012-8/10,2012-8/10,1,False,,2,2012-8/10,added missing strings
