['additions'],['closedAt'],['createdAt'],['deletions'],['merged'],['mergedAt'],['paticipants'],['publishedAt'],['title']
1,2013-12/21,2013-11/21,9,True,2013-12/21,2,2013-11/21,Update setOrderSubtotalToPriceWithoutAdjustments to call calculateSubtot...
9,2013-11/22,2013-11/22,4,True,2013-11/22,2,2013-11/22,Fix password encoded 2 times when updating admin user without modifying ...
3,2013-12/8,2013-12/8,4,False,,2,2013-12/8,Fixed TODO for getter rename
8755,2014-1/12,2013-12/12,6640,True,2014-1/12,2,2013-12/12,Refactor Payment Domain and Unify Paradigms
2,2013-12/20,2013-12/20,0,False,,2,2013-12/20,tested
10,2014-1/10,2014-1/10,2,True,2014-1/10,4,2014-1/10,Fix bug parsing out expressions for enumeration types
4,2014-2/13,2014-2/13,1,False,,3,2014-2/13,Update GoogleAnalyticsProcessor.java
4,2014-2/13,2014-2/13,1,False,,3,2014-2/13,Update GoogleAnalyticsProcessor.java
514,2014-3/6,2014-3/6,0,True,2014-3/6,2,2014-3/6,Add mechanism to cache Thymeleaf templates 
7,2014-3/13,2014-3/13,19,True,2014-3/13,4,2014-3/13,Closing file stream before moving file to destination
58,2014-3/16,2014-3/16,11,False,,2,2014-3/16,Address #773 : introduces BLCSystemProperty.isWindows to determine the
1819,2014-5/17,2014-4/17,300,True,2014-5/17,4,2014-4/17,Need ability to search / browse by Sku rather than by product
128,2014-5/24,2014-4/24,220,False,,3,2014-4/24,spring 4 migration
956,2014-4/24,2014-4/24,181,True,2014-4/24,2,2014-4/24,Introduce Row Level Security API in the Admin
1,2014-4/26,2014-4/26,1,True,2014-4/26,2,2014-4/26,Replaces Google CDN with cdnjs
1,2014-7/30,2014-4/30,1,False,,2,2014-4/30,Replaces cdnjs with jsdelivr
4,2014-5/8,2014-5/8,1,True,2014-5/8,2,2014-5/8,Patch to support Hibernate's @Formula - prevent ClassCastExceptions in the admin
773,2014-8/22,2014-5/22,873,True,2014-8/22,1,2014-5/22,Upgrade to Spring 4.0
2968,2014-5/26,2014-5/26,949,False,,8,2014-5/26,Broadleaf commerce 3.1.x
8,2014-6/11,2014-6/11,1,True,2014-6/11,2,2014-6/11,Create a Database-backed Message Source to handle Resource Bundles
40,2014-6/16,2014-6/16,41,True,2014-6/16,2,2014-6/16,"Made offer optional in each of the adjustment types - item, fulfillment group and order."
34,2014-6/17,2014-6/17,15,True,2014-6/17,3,2014-6/17,Ensure that StructuredContent entities are properly cached
2,2014-7/9,2014-7/9,2,False,,2,2014-7/9,Fixed GoogleUniversalAnalyticsProcessor adding order items to javascript output
2,2014-7/9,2014-7/9,2,True,2014-7/9,2,2014-7/9,Fixed GoogleUniversalAnalyticsProcessor adding order items to javascript output 3.0.x
3,2014-8/4,2014-8/4,3,True,2014-8/4,2,2014-8/4,Use UTF-8 instead of the default encoding
5,2014-8/4,2014-8/4,3,False,,1,2014-8/4,Null check the result of readLine
64,2014-8/4,2014-8/4,29,False,,1,2014-8/4,Properly close streams
49,2014-8/4,2014-8/4,14,False,,1,2014-8/4,Properly close streams
41,2014-8/4,2014-8/4,19,True,2014-8/4,2,2014-8/4,Properly close input streams in the applicationContext merge process
2,2014-10/8,2014-8/8,2,True,2014-10/8,2,2014-8/8,Ports are Integer not String
1,2014-10/8,2014-8/8,1,True,2014-10/8,2,2014-8/8,DecrementInventoryActivity could have incorrect results if it needs to roll back
1,2014-10/8,2014-8/8,1,True,2014-10/8,2,2014-8/8,Long have to be compared using equals
1,2014-10/8,2014-8/8,1,True,2014-10/8,2,2014-8/8,Long have to be compared using equals
1,2014-10/8,2014-8/8,1,True,2014-10/8,2,2014-8/8,Search synonyms could be splitting the characters incorrectly
1,2014-10/8,2014-8/8,1,True,2014-10/8,2,2014-8/8,Comparing related Skus when computing related products could yield incorrect results
1,2014-10/8,2014-8/8,1,True,2014-10/8,2,2014-8/8,Long have to be compared using equals
1,2014-10/8,2014-8/8,1,True,2014-10/8,2,2014-8/8,Escape regular expression character in split
1,2014-10/8,2014-8/8,1,True,2014-10/8,2,2014-8/8,Long have to be compared using equals
1,2014-10/8,2014-8/8,1,True,2014-10/8,2,2014-8/8,Long have to be compared using equals
1,2014-10/8,2014-8/8,1,True,2014-10/8,2,2014-8/8,Long can never be equals to a String
5,2014-10/8,2014-8/8,4,True,2014-10/8,2,2014-8/8,Correct equality check in EmailTrackingOpens
3,2014-10/8,2014-8/8,5,True,2014-10/8,2,2014-8/8,Remove unnecesary repeated conditional test in ExtensionManager
10,2014-11/8,2014-8/8,10,False,,4,2014-8/8,DateFormatter are not thread safe
3,2014-8/8,2014-8/8,2,True,2014-8/8,3,2014-8/8,Remove possible null pointer dereference
13,2014-10/8,2014-8/8,14,True,2014-10/8,2,2014-8/8,A null pointer exception could occur when translating an order item
6,2016-5/8,2014-8/8,6,False,,2,2014-8/8,Remove possible null pointer dereference
7,2014-10/8,2014-8/8,4,True,2014-10/8,2,2014-8/8,Potential null pointer exception when using the CategoriesProcessor
1,2014-8/9,2014-8/9,0,True,2014-8/9,2,2014-8/9,adding coordinate type for geolocation searches
70,2016-5/11,2014-8/11,32,False,,2,2014-8/11,Remove reliance on default encoding
47,2014-8/20,2014-8/20,37,True,2014-8/20,4,2014-8/20,Use Solr's frange plugin for facet queries
2,2014-9/26,2014-9/26,1,True,2014-9/26,2,2014-9/26,Update JMSEmailServiceProducerImpl.java
48,2014-10/22,2014-10/22,1,False,,3,2014-10/22,#1140 - Can't Delete Product within Admin
5,2014-12/10,2014-12/10,0,True,2014-12/10,2,2014-12/10,Prevent NPE from Java 8 lambdas in ClassTransformers
115,2015-1/10,2014-12/10,2,True,2015-1/10,2,2014-12/10,Add support for DefaultValues in AdminPresentation Annotation.
1,2015-1/11,2014-12/11,2,True,2015-1/11,2,2014-12/11,Fix MergeManager overrides
274,2016-5/18,2014-12/18,133,False,,3,2014-12/18,#1199 - Refactor the way product options are retrieved
1,2015-1/5,2015-1/5,1,False,,3,2015-1/5,Changed AND to OR while checking for OrderStatus value if Payment can be applied to Order
2,2015-1/8,2015-1/8,2,True,2015-1/8,3,2015-1/8,Remove redundant OnPropertyChanged when uploading an asset in the admin
202,2015-2/9,2015-1/9,108,True,2015-2/9,2,2015-1/9,Allow deletes in the admin to respond to validation errors
652,2015-2/15,2015-1/15,212,True,2015-2/15,4,2015-1/15,Remove Jersey and replace the REST services implementation with Spring MVC
293,2015-2/23,2015-1/23,15,True,2015-2/23,4,2015-1/23,Admin session expiration event can lead to loss of data
175,2015-1/27,2015-1/27,59,True,2015-1/27,3,2015-1/27,Make saving changes happen through an ajax post in the admin
1,2015-1/29,2015-1/29,1,False,,1,2015-1/29,#1242 - Made billingAddress on CustomerPayment optional
1,2015-2/29,2015-1/29,1,True,2015-2/29,2,2015-1/29,Remove Address requirement from CustomerPayment
328,2015-2/12,2015-2/12,15,False,,2,2015-2/12,Allow graceful session timeouts in the admin so that data is not inadvertently lost
21,2015-2/16,2015-2/16,16,False,,1,2015-2/16,Performance tweaks to CategoryXref
60,2015-6/17,2015-2/17,80,True,2015-6/17,2,2015-2/17,Make CategoryXref cacheable
330,2015-3/17,2015-2/17,15,True,2015-3/17,2,2015-2/17,Allow graceful session timeouts in the admin so that data is not inadvertently lost
4,2015-2/17,2015-2/17,1,True,2015-2/17,2,2015-2/17,No spinner icon is shown when searching from the main search on an entity page
119,2015-5/17,2015-2/17,45,True,2015-5/17,2,2015-2/17,Give a notification when an expired offer code is added to an order or that the offer has already been retrieved for the order
1,2015-3/23,2015-2/23,1,False,,3,2015-2/23,Fix copy-paste issue for ProductOptionsWrapper (API)
767,2015-9/3,2015-3/3,18,False,,3,2015-3/3,Feature breadcrumbs
135,2015-3/23,2015-3/23,1,True,2015-3/23,3,2015-3/23,Test to ensure that product options are correctly sorted by displayOrder
1819,2015-3/24,2015-3/24,1,True,2015-3/24,3,2015-3/24,Add Spock/Groovy Unit Tests for Activities within the Add Item Workflow
2,2015-3/30,2015-3/30,2,True,2015-3/30,4,2015-3/30, SiteImpl.java - Site Identifier Type and Site Identifier Value fields are changed as required fields. In order to force site creation with a Site Identifier to avoid exception while preview on site
2,2015-4/2,2015-4/2,2,True,2015-4/2,1,2015-4/2,"Revert "" SiteImpl.java - Site Identifier Type and Site Identifier Value ..."
0,2015-4/2,2015-4/2,0,False,,2,2015-4/2,Added support for new PasswordEncoder in Spring Security 3.2 and deprecate old style
72,2015-4/15,2015-4/15,58,True,2015-4/15,2,2015-4/15,Refactor ValidateAndConfirmPaymentsActivity for easier extension
56,2015-4/15,2015-4/15,6,True,2015-4/15,2,2015-4/15,Added deproxy hibernate utility method and applied to lazy loaded fields
19,2015-4/20,2015-4/20,13,False,,2,2015-4/20,"Added logic to report source exception, should rollback routines themsel..."
1764,2015-5/6,2015-5/6,960,False,,4,2015-5/6,Deprecate the customized Broadleaf resource handling in favor of the new resource handlers and transformers in Spring MVC 4.1+
1764,2015-5/7,2015-5/7,960,True,2015-5/7,4,2015-5/7,Refactor resource handling to leverage Spring 4.1 resource resolvers.
1,2015-5/13,2015-5/13,1,True,2015-5/13,2,2015-5/13,If someone wants to register a CurrencyConversionService there is a exception beeing thrown into CurrencyConversionContext
37,2015-5/15,2015-5/15,2,True,2015-5/15,2,2015-5/15,Add null response caching to CachingResourceResolver
2,2015-5/21,2015-5/21,0,False,,4,2015-5/21,"When creating a new Media value, make sure it's added to the parent"
0,2015-6/2,2015-6/2,0,False,,1,2015-6/2,Merge pull request #2 from BroadleafCommerce/master
9,2015-6/3,2015-6/3,8,False,,4,2015-6/3,BroadleafCommerce/BroadleafCommerce - QA#649
11,2015-6/3,2015-6/3,0,False,,2,2015-6/3,BroadleafCommerce/BroadleafCommerce -- QA#649
