['closedAt'],['createdAt'],['title'],['url']
2017-11/17,2017-11/17,Search for graphic intersections between two functions,https://github.com/numworks/epsilon/issues/244
2017-12/5,2017-12/2,Error running sdk,https://github.com/numworks/epsilon/issues/245
2017-12/5,2017-12/5,"Select previous results containing ""ans""",https://github.com/numworks/epsilon/issues/250
2018-11/23,2017-12/6,matrix assignment,https://github.com/numworks/epsilon/issues/253
2017-12/8,2017-12/6,inverse(3) ?,https://github.com/numworks/epsilon/issues/254
2017-12/6,2017-12/6,Matrix 1x1 doesn't exist ?,https://github.com/numworks/epsilon/issues/255
2017-12/6,2017-12/6,The matrix input is not pleasant,https://github.com/numworks/epsilon/issues/256
2022-6/6,2017-12/6,"int(e^(-x^2),0,10000) gives a false result",https://github.com/numworks/epsilon/issues/258
,2017-12/6,Python console: support _,https://github.com/numworks/epsilon/issues/259
2017-12/7,2017-12/7,Hovering precision item in result formatting menu prevent to select a formatting type,https://github.com/numworks/epsilon/issues/264
,2017-12/7,Always show ≈ when result is rounded,https://github.com/numworks/epsilon/issues/265
2017-12/12,2017-12/7,"windows simulator: Assert error apps/i18n.cpp:2437 and Toolbox title ""Zoom :""",https://github.com/numworks/epsilon/issues/267
2017-12/8,2017-12/7,Error when computing the GCD of big integers,https://github.com/numworks/epsilon/issues/268
2017-12/21,2017-12/8,It's not possible to type a single quote,https://github.com/numworks/epsilon/issues/276
2018-2/1,2017-12/10,≈ is always used on scientific mode,https://github.com/numworks/epsilon/issues/278
2018-1/23,2017-12/11,Integer factorization,https://github.com/numworks/epsilon/issues/279
2017-12/14,2017-12/14,Logarithms with bases different from 10,https://github.com/numworks/epsilon/issues/282
2017-12/20,2017-12/16,unexpected reset,https://github.com/numworks/epsilon/issues/286
2017-12/27,2017-12/26,[apps/settings] Reducing languages number makes app crash,https://github.com/numworks/epsilon/issues/293
2019-5/17,2017-12/27,simplify fraction,https://github.com/numworks/epsilon/issues/294
2018-2/1,2018-1/3,keyboard repeat too fast,https://github.com/numworks/epsilon/issues/303
2018-4/3,2018-1/8,Typo at online simulator,https://github.com/numworks/epsilon/issues/308
2018-1/16,2018-1/8,(3-i)^2+6i gives the wrong result,https://github.com/numworks/epsilon/issues/310
2018-5/24,2018-1/23,Emulator : Can't compute binomial law with n=100 (revert to n=10),https://github.com/numworks/epsilon/issues/318
2018-11/23,2018-1/24,IEEE 754 not fully recognized,https://github.com/numworks/epsilon/issues/320
2018-2/1,2018-1/25,"factor(10007) should return 10007, not undef",https://github.com/numworks/epsilon/issues/321
2019-3/15,2018-1/27,Docker image for sdk build ?,https://github.com/numworks/epsilon/issues/330
2020-3/6,2018-2/3,The toolbox pop-up's title is not localized,https://github.com/numworks/epsilon/issues/343
2020-4/6,2018-2/7,"[Python] The ""var"" pop-up should only complete from loaded scripts",https://github.com/numworks/epsilon/issues/346
2020-3/6,2018-2/7,Add selection to the TextView component,https://github.com/numworks/epsilon/issues/347
2018-2/9,2018-2/8,"When building on macOS 10.13, Ion::random always returns zero",https://github.com/numworks/epsilon/issues/349
2019-1/11,2018-2/10,argument of a complex number,https://github.com/numworks/epsilon/issues/351
2018-2/15,2018-2/15,Error in compiling,https://github.com/numworks/epsilon/issues/354
2018-2/18,2018-2/16,Assertion Failed When Trying to use Python,https://github.com/numworks/epsilon/issues/357
2018-3/19,2018-3/19,Licensing issues : the CC-BY-NC-ND license shouldn't be used,https://github.com/numworks/epsilon/issues/365
2019-1/11,2018-3/19,Don't simplify expression before plotting them?,https://github.com/numworks/epsilon/issues/366
2020-3/6,2018-3/20,[i18n] Accents in Spanish Language,https://github.com/numworks/epsilon/issues/367
2021-7/22,2018-3/21,Result approximation is cut off and should be on new line,https://github.com/numworks/epsilon/issues/374
2019-10/7,2018-3/30,windows emulator : Python Shell -> Assertion failed,https://github.com/numworks/epsilon/issues/381
,2018-4/11,Rounding error on logarithms,https://github.com/numworks/epsilon/issues/396
2018-5/31,2018-4/13,abscissas display in proba app ,https://github.com/numworks/epsilon/issues/397
2020-2/20,2018-4/16,Font size in Python editor too large,https://github.com/numworks/epsilon/issues/400
2018-4/20,2018-4/18,compilation fails on Ubuntu Xenial,https://github.com/numworks/epsilon/issues/405
2019-3/15,2018-4/18,Request: dialog boxes and toolbar on numWorks,https://github.com/numworks/epsilon/issues/406
2020-3/6,2018-4/18,Inconsistent expression parsing,https://github.com/numworks/epsilon/issues/407
2018-4/21,2018-4/21,Translation of ComplexAbsoluteValue,https://github.com/numworks/epsilon/issues/411
2018-5/24,2018-4/22,boxplot quartile stats different,https://github.com/numworks/epsilon/issues/412
,2018-4/25,[question] Real time clock and some kind of internal secret...,https://github.com/numworks/epsilon/issues/413
2018-7/2,2018-4/26,[Python] enumerate built-in function is not defined,https://github.com/numworks/epsilon/issues/415
,2018-4/29,[Python] expand the APIs,https://github.com/numworks/epsilon/issues/416
,2018-4/29,error produced by a try: except:,https://github.com/numworks/epsilon/issues/417
2018-10/5,2018-5/1,[Regression] Add more equation forms,https://github.com/numworks/epsilon/issues/418
2021-11/18,2018-5/2,Add inequality graphing,https://github.com/numworks/epsilon/issues/419
,2018-5/2,"idea to improve the execution of the scripts,",https://github.com/numworks/epsilon/issues/420
2019-1/11,2018-5/2,[Functions app] Don't change the zoom when adding a function?,https://github.com/numworks/epsilon/issues/422
2018-11/23,2018-5/2,Stop parsing numbers with multiple decimal dots?,https://github.com/numworks/epsilon/issues/423
2020-3/6,2018-5/3,[Functions] Allow X graphing,https://github.com/numworks/epsilon/issues/425
2019-10/7,2018-5/4,[Simulator] Show the alpha and shift buttons and allow them to be typed,https://github.com/numworks/epsilon/issues/429
2018-11/23,2018-5/4,[Poincare] Improve simplification of logs in a given base,https://github.com/numworks/epsilon/issues/431
,2018-5/5,Give exact results in function tables,https://github.com/numworks/epsilon/issues/434
,2018-5/7,Thick curves,https://github.com/numworks/epsilon/issues/436
,2018-5/7,graph a recursive sequence,https://github.com/numworks/epsilon/issues/437
2018-5/9,2018-5/8,Calculator is a tiny bit slower after flashing the firmware,https://github.com/numworks/epsilon/issues/439
2018-5/14,2018-5/10,Open up the Wiki,https://github.com/numworks/epsilon/issues/450
2018-5/14,2018-5/14,simple calculation results in undef after several seconds with latest firmware,https://github.com/numworks/epsilon/issues/455
