"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"INT-2996 Fix Class and Package Cycles","2013-4/16","2013-4/16","2013-4/16",True,"2013-4/16",3,47,46
"INT-2892 Add 'local-filter' to (S)FTP Adapters","2013-4/17","2013-4/17","2013-4/17",False,"null",2,122,12
"INT-2982 Fix Hard-Coded Ports in Syslog Tests","2013-4/24","2013-4/24","2013-4/24",False,"null",2,12,5
"XD-6 Channel Registry","2013-4/24","2013-4/24","2013-4/24",False,"null",5,1326,12
"INT-2972 FixedMethodFilter - Return Mutable List","2013-4/25","2013-5/25","2013-4/25",True,"2013-5/25",2,26,5
"INT-2620 Fix Race Condition in Failover Tests","2013-4/28","2013-4/28","2013-4/28",True,"2013-4/28",2,42,12
"INT-2999 Add BeanResolvers to AMQP OB Endpoints","2013-4/29","2013-5/29","2013-4/29",False,"null",3,52,3
"XD-6 Channel Registry","2013-4/30","2013-5/30","2013-4/30",False,"null",2,361,0
"INT-2976 Update JavaMail to 1.4.7","2013-4/30","2013-5/30","2013-4/30",False,"null",2,1,1
"INT-2903 Fix Timing Problem in TCP Timeout Tests","2013-4/30","2013-5/30","2013-4/30",False,"null",2,72,153
"INT-3001 Field Order in SyslogToMapTransformer","2013-5/1","2013-5/1","2013-5/1",True,"2013-5/1",2,21,2
"INT-3002 Fix Content-Type Mapping","2013-5/2","2013-5/2","2013-5/2",False,"null",2,130,3
"INT-3004 Detect Timeout in MessagingTemplate","2013-5/3","2013-5/3","2013-5/3",False,"null",2,162,16
