['closedAt'],['createdAt'],['merged'],['mergedAt'],['publishedAt'],['title']
2016-1,2016-1,True,2016-1,2016-1,Fix connecting to debugAdapter by port when offline
2016-1,2016-1,True,2016-1,2016-1,Treat surrogate pairs as one character
2016-1,2016-1,True,2016-1,2016-1,Support and indicate keyboard focus on elements
2016-1,2016-1,True,2016-1,2016-1,html preview part and command
2016-1,2016-1,False,,2016-1,no snippets in comments
2016-1,2016-1,False,,2016-1,no snippets in comments
2016-1,2016-1,True,2016-1,2016-1,'scripts\npm install' bugs in windows7
2016-1,2016-1,True,2016-1,2016-1,Add keybinding options for Replace and Replace All (#2004)
2016-1,2016-1,True,2016-1,2016-1,Adding a global Env to the extension API
2016-1,2016-1,True,2016-1,2016-1,Fixing indentation in package.json
2016-1,2016-1,True,2016-1,2016-1,Output in horizontal panel
2016-1,2016-1,False,,2016-1,More tree focus changes
2016-1,2016-1,False,,2016-1,"improved ""Utilities.containsQueryString"""
2016-1,2016-1,True,2016-1,2016-1,Salsa status
2016-1,2016-1,True,2016-1,2016-1,Remove static welcome page and move welcome experience to the website
2016-3,2016-1,False,,2016-1,Always attempt to correct indent on closing tag
2016-1,2016-1,True,2016-1,2016-1,Send smile to twitter
2016-1,2016-1,True,2016-1,2016-1,next level MarkedString
2016-1,2016-1,True,2016-1,2016-1,Aria roles for tree
2016-1,2016-1,True,2016-1,2016-1,Add json language server
2016-3,2016-1,False,,2016-1,Support for middle click to paste selection on Linux
2016-1,2016-1,True,2016-1,2016-1,fix #2491
2016-2,2016-1,True,2016-2,2016-1,Send smile to twitter
2016-1,2016-1,True,2016-1,2016-1,Understand update.channel set to none
2016-4,2016-1,True,2016-4,2016-1,Update to Electron 0.37.x
2016-2,2016-1,False,,2016-1,fix [sql] syntax highlighting error #1634
2016-2,2016-1,True,2016-2,2016-1,Fix md image link with no alt text highlighting
2016-2,2016-1,True,2016-2,2016-1,Associate .cson with CoffeeScript
2016-2,2016-1,False,,2016-1,fix replacing end of line with newline
2016-2,2016-2,False,,2016-2,Allow Code to be launched straight from Git Bash on Windows
2016-2,2016-2,True,2016-2,2016-2,add emmet support for .erb and .php files
2016-2,2016-2,False,,2016-2,"Add message that indicates you can press ESC to cancel a search, fixes #2494"
2016-2,2016-2,True,2016-2,2016-2,Fixes to C++ and C syntax
2016-2,2016-2,True,2016-2,2016-2,Add -h/-v command line args and linux/mac launch scripts
2016-3,2016-2,False,,2016-2,Atom.io like multiline support for snippets
2016-2,2016-2,True,2016-2,2016-2,Use the List widget in the Suggest widget
2016-2,2016-2,True,2016-2,2016-2,extension tips
