['closedAt'],['createdAt'],['title'],['url']
2014-9/12,2013-3/21,Use Maven Snapshots on Dev branches,https://github.com/Azure/azure-sdk-for-java/issues/298
2013-4/29,2013-3/22,customer feedback on service bus error handling,https://github.com/Azure/azure-sdk-for-java/issues/301
2013-4/10,2013-3/26,customer are looking for sample code in Java to perform SAS operation,https://github.com/Azure/azure-sdk-for-java/issues/305
2013-4/13,2013-3/26,Implement Updating Queue/Topic/Subscription/,https://github.com/Azure/azure-sdk-for-java/issues/306
2013-4/13,2013-3/26,Update QueueDescription/TopicDescritpion/SubscriptionDescription/RuleDescription,https://github.com/Azure/azure-sdk-for-java/issues/307
2013-4/13,2013-3/26,Support Message Lock Renewal for service bus. ,https://github.com/Azure/azure-sdk-for-java/issues/308
2013-5/28,2013-3/26,Support OData Querying for service bus ,https://github.com/Azure/azure-sdk-for-java/issues/309
2013-5/28,2013-3/26,Support multi property correlation filter ,https://github.com/Azure/azure-sdk-for-java/issues/310
2013-4/10,2013-3/28,customer has challenging of running java via Powershell remoting ,https://github.com/Azure/azure-sdk-for-java/issues/314
2013-5/6,2013-3/28,Calling ServiceBusContract.deleteMessage() can throw NullPointerException,https://github.com/Azure/azure-sdk-for-java/issues/316
2014-10/24,2013-3/29,Test: Trim whitespace from ends of variables read from environment,https://github.com/Azure/azure-sdk-for-java/issues/317
2014-6/24,2013-4/12,Make the project a Maven multi-module project,https://github.com/Azure/azure-sdk-for-java/issues/322
2014-6/24,2013-4/12,"Spike: Should TableEntity and its decedents specify Map<String,EntityProperty> instead of HashMap<String,EntityProperty>",https://github.com/Azure/azure-sdk-for-java/issues/323
2013-5/28,2013-4/15,The description of service bus support is incorrect in the readme file,https://github.com/Azure/azure-sdk-for-java/issues/325
2013-4/15,2013-4/15, sign off ,https://github.com/Azure/azure-sdk-for-java/issues/326
2013-4/16,2013-4/16,Request for Java API for Azure Infrastructure Services,https://github.com/Azure/azure-sdk-for-java/issues/328
2013-8/10,2013-4/23,Support Affinity Group for Java SDK,https://github.com/Azure/azure-sdk-for-java/issues/330
2014-9/12,2013-4/24,pull commonly used string into constants,https://github.com/Azure/azure-sdk-for-java/issues/331
2013-6/4,2013-4/28,The first paragraph of the readme file requires update,https://github.com/Azure/azure-sdk-for-java/issues/333
2013-6/8,2013-5/3, Implement and integrate testing of ForwardTo feature ,https://github.com/Azure/azure-sdk-for-java/issues/335
2013-6/6,2013-5/3,implement and test MessageCountDetails ,https://github.com/Azure/azure-sdk-for-java/issues/336
2013-8/10,2013-5/13,Service Management Infrastructure design and implementation. ,https://github.com/Azure/azure-sdk-for-java/issues/339
2013-6/11,2013-5/13,Release 0.4.3,https://github.com/Azure/azure-sdk-for-java/issues/340
2013-5/15,2013-5/14,"list of servicebus metadata update through service side got bad request response with ""unsupported properties for api-version '' msg",https://github.com/Azure/azure-sdk-for-java/issues/341
2013-6/6,2013-5/24,design change for properties of Correlation Filter ,https://github.com/Azure/azure-sdk-for-java/issues/346
2013-5/28,2013-5/28,0.4.4 - sprint 2 ,https://github.com/Azure/azure-sdk-for-java/issues/347
2013-11/6,2013-5/30,Support location for Java SDK,https://github.com/Azure/azure-sdk-for-java/issues/349
2013-11/6,2013-5/30,Support Virtual Machine for Java SDK,https://github.com/Azure/azure-sdk-for-java/issues/350
2013-6/3,2013-6/3,the features in readme files are not aligned consistently.,https://github.com/Azure/azure-sdk-for-java/issues/352
2014-9/13,2013-6/3,improve the service runtime description in readme file,https://github.com/Azure/azure-sdk-for-java/issues/353
2013-8/2,2013-6/3,write the wiki page for Java devbox setup,https://github.com/Azure/azure-sdk-for-java/issues/354
2013-6/4,2013-6/4,"servicebus UT have hardcoded ""windows.net"" string in config",https://github.com/Azure/azure-sdk-for-java/issues/355
2013-6/20,2013-6/4,servicebus integration testing fail all on non -window.net environment,https://github.com/Azure/azure-sdk-for-java/issues/356
2013-8/2,2013-6/4,maven-jaxb2-plugin can't be generated on Win7 platform,https://github.com/Azure/azure-sdk-for-java/issues/357
2013-6/20,2013-6/5,The STS endpoint is not used properly from connection string ,https://github.com/Azure/azure-sdk-for-java/issues/358
2013-6/19,2013-6/7,SubcriptionInfo return null for method getDefaultRuleDescription() after subscription created with setDefaultRuleDescription(ruleDescription)),https://github.com/Azure/azure-sdk-for-java/issues/359
2013-6/11,2013-6/7,README.md code sample confusion,https://github.com/Azure/azure-sdk-for-java/issues/360
2014-9/12,2013-6/10,prototype java code generation,https://github.com/Azure/azure-sdk-for-java/issues/361
2013-7/5,2013-6/24,spike : Java SDK to talk with Windows Azure Service Managment using a client certificate,https://github.com/Azure/azure-sdk-for-java/issues/366
2014-9/12,2013-6/24,"Support add role, delete role and get role for virtual machine.",https://github.com/Azure/azure-sdk-for-java/issues/367
2013-7/8,2013-6/24,Release 0.4.4,https://github.com/Azure/azure-sdk-for-java/issues/368
2013-6/28,2013-6/27,service bus time out exception,https://github.com/Azure/azure-sdk-for-java/issues/372
2013-8/2,2013-6/28,Sending a long topic message under linux produces timed out exceptions,https://github.com/Azure/azure-sdk-for-java/issues/374
2013-7/15,2013-7/6,customer had a hard time following filter topic example ,https://github.com/Azure/azure-sdk-for-java/issues/380
2013-8/3,2013-7/8,Update Azure RT to the latest version,https://github.com/Azure/azure-sdk-for-java/issues/381
2013-8/21,2013-7/11,support media service notification in Java SDK. ,https://github.com/Azure/azure-sdk-for-java/issues/382
2014-9/12,2013-7/12,Customer tries Java SDK on Android and failed,https://github.com/Azure/azure-sdk-for-java/issues/383
2014-10/24,2013-7/15,support service bus queue/topic/subscription list pagination.,https://github.com/Azure/azure-sdk-for-java/issues/384
2014-10/24,2013-7/18,"support returning hosted services, storage services in get affinity group operation",https://github.com/Azure/azure-sdk-for-java/issues/388
2014-9/12,2013-7/22,support access public container without any account/key or SAS token,https://github.com/Azure/azure-sdk-for-java/issues/389
2014-9/12,2013-7/31,There are excessive amount of queues in test account.,https://github.com/Azure/azure-sdk-for-java/issues/391
2014-9/13,2013-8/1,support paired namespace of service bus in Java SDK,https://github.com/Azure/azure-sdk-for-java/issues/392
2014-9/13,2013-8/5,support storage account entity in media services.,https://github.com/Azure/azure-sdk-for-java/issues/393
2013-8/19,2013-8/6,Change service management affinity group API to use option class,https://github.com/Azure/azure-sdk-for-java/issues/394
2014-9/22,2013-8/26,TokenProvider,https://github.com/Azure/azure-sdk-for-java/issues/396
2014-6/24,2013-9/11,deprecating the service layer for storage. ,https://github.com/Azure/azure-sdk-for-java/issues/400
